,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,okna,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia,cena_mkw_PLN
367,395000.0,1,2,3,1,54.0,1,1,1,0,7314.814814814815
368,239500.0,1,2,3,1,45.0,1,1,1,0,5322.222222222223
369,203000.0,1,2,2,1,49.0,2,3,2,0,4142.857142857143
370,192000.0,1,2,2,1,33.0,1,1,1,0,5818.181818181818
371,460000.0,1,2,3,1,63.0,1,1,1,0,7301.587301587301
372,341627.0,1,1,3,0,47.8,1,1,1,1,7147.008368200837
373,245000.0,1,1,3,0,55.0,0,3,2,0,4454.545454545455
374,406216.0,1,2,3,0,53.6,1,1,1,1,7578.6567164179105
375,312175.0,1,2,2,0,41.4,1,1,1,1,7540.458937198068
376,493416.0,1,2,3,2,56.07,1,1,1,1,8800.0
377,627200.0,1,2,3,2,64.0,1,1,1,1,9800.0
378,321446.0,1,2,2,0,46.0,1,1,1,1,6987.95652173913
379,227000.0,1,3,2,1,42.0,0,2,2,2,5404.761904761905
380,380000.0,1,1,4,0,104.0,0,3,2,0,3653.846153846154
381,239000.0,1,3,2,1,37.5,0,3,2,2,6373.333333333333
382,699000.0,1,1,5,2,200.0,3,5,2,3,3495.0
383,693528.0,1,2,4,2,78.81,1,1,1,1,8800.0
384,723433.0,1,2,4,0,77.61,1,1,1,1,9321.388996263368
385,540098.0,1,2,3,0,65.69,1,1,1,1,8221.921144770893
386,390000.0,1,1,2,2,65.0,3,5,2,2,6000.0
387,513016.0,1,2,3,0,58.12,1,1,1,1,8826.841018582243
388,249000.0,1,1,2,1,48.0,2,3,2,3,5187.5
389,235000.0,0,3,2,1,48.0,2,3,2,3,4895.833333333333
390,291264.0,1,2,2,0,39.36,1,1,1,1,7400.0
391,300000.0,1,1,3,1,66.74,2,3,2,0,4495.055439017082
392,326075.0,1,1,3,0,61.12,2,1,1,1,5334.996727748691
393,296100.0,0,3,3,1,63.0,2,2,2,2,4700.0
